datetime_added,product_id,game,description,metacritic_score,release_date,price
25-09-18 17:11,NS-001,Cave Story+,A life-changing video game experience!,88,20-06-17,"Rp443.737,24"
08-01-19 14:48,NS-002,Dead Cells,"Discover 2018's Action Game of the Year and use your wits, weapons & spells to escape an ever-changing island in this colorful, exploration filled, action-packed adventure.",89,07-08-18,"Rp270.385,34"
02-02-19 18:58,NS-003,Into the Breach,Control powerful mechs from the future to hold off an alien threat.,89,28-08-18,"Rp91.492,80"
02-10-20 21:53,NS-004,Downwell,No two trips down the well are ever the same!,88,31-01-19,"Rp30.009,64"
19-03-21 21:48,NS-005,Super Mario 3D World + Bowser's Fury,Explore a world of Mario fun together!,89,12-02-21,"Rp717.175,32"
01-05-21 22:56,NS-006,Dicey Dungeons,Become a giant walking dice and battle to the end of an ever-changing dungeon! Can you escape the cruel whims of Lady Luck?,88,15-12-20,"Rp150.018,04"
23-05-22 5:54,NS-007,Xenoblade Chronicles Definitive Edition,Uncover the secrets of the Monado and save the world in Xenoblade Chronicles: Definitive Edition on Nintendo Switch.,89,29-05-20,"Rp717.175,32"
31-10-22 23:32,NS-008,Diablo III: Eternal Collection,"Team up to slay demons and amass vast hordes of loot anytime, anywhere with Diablo III: Eternal Collection on Nintendo Switch.",88,02-11-18,"Rp554.088,89"
17-02-23 21:21,NS-009,13 Sentinels: Aegis Rim,A sci-fi mystery epic spanning thirteen intertwining stories.,88,12-04-22,"Rp842.332,30"
23-04-23 11:30,NS-010,Mark of the Ninja: Remastered,Learn what it is to truly be a ninja.,89,09-10-18,"Rp222.470,86"
20-05-23 19:07,NS-011,DUSK,Don't trust your eyes.,88,28-10-21,"Rp240.311,49"
26-06-23 5:02,NS-012,Xenoblade Chronicles 3,A heartfelt RPG adventure awaits in Xenoblade Chronicles 3 for Nintendo Switch!,89,29-07-22,"Rp826.401,43"
11-09-23 6:07,NS-013,This Way Madness Lies,Save the worlds of Shakespeare from the forces of Nightmare in this fast-paced turn-based JRPG comedy.,89,25-07-23,"Rp136.790,66"
